Team1,Team2,Winner,Margin,Ground,Date,Scorecard
New Zealand,South Africa,South Africa,78 runs,Auckland,"Feb 17, 2017",T20I # 595
India,England,India,75 runs,Bengaluru,"Feb 1, 2017",T20I # 594
India,England,India,5 runs,Nagpur,"Jan 29, 2017",T20I # 593
India,England,England,7 wickets,Kanpur,"Jan 26, 2017",T20I # 592
South Africa,Sri Lanka,Sri Lanka,5 wickets,Cape Town,"Jan 25, 2017",T20I # 591
South Africa,Sri Lanka,Sri Lanka,3 wickets,Johannesburg,"Jan 22, 2017",T20I # 590
South Africa,Sri Lanka,South Africa,19 runs,Centurion,"Jan 20, 2017",T20I # 589
Afghanistan,Ireland,Afghanistan,10 wickets,Dubai (DICS),"Jan 20, 2017",T20I # 588
Ireland,Scotland,Ireland,98 runs,Dubai (DICS),"Jan 20, 2017",T20I # 587
Afghanistan,Oman,Afghanistan,8 wickets,Dubai (DICS),"Jan 20, 2017",T20I # 586
Oman,Scotland,Scotland,7 wickets,Dubai (DICS),"Jan 19, 2017",T20I # 585
Hong Kong,Netherlands,Hong Kong,91 runs,Dubai (DICS),"Jan 18, 2017",T20I # 584
U.A.E.,Ireland,Ireland,24 runs,Dubai (DICS),"Jan 18, 2017",T20I # 583
Netherlands,Scotland,Scotland,7 runs,Abu Dhabi,"Jan 17, 2017",T20I # 582
U.A.E.,Afghanistan,Afghanistan,5 wickets,Abu Dhabi,"Jan 16, 2017",T20I # 581
Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,"Jan 16, 2017",T20I # 580
Netherlands,Oman,Netherlands,5 wickets,Abu Dhabi,"Jan 15, 2017",T20I # 579
Afghanistan,Ireland,Afghanistan,5 wickets,Abu Dhabi,"Jan 14, 2017",T20I # 578
Hong Kong,Scotland,Scotland,24 runs,Abu Dhabi,"Jan 14, 2017",T20I # 577
New Zealand,Bangladesh,New Zealand,27 runs,Mount Maunganui,"Jan 8, 2017",T20I # 576
New Zealand,Bangladesh,New Zealand,47 runs,Mount Maunganui,"Jan 6, 2017",T20I # 575
New Zealand,Bangladesh,New Zealand,6 wickets,Napier,"Jan 3, 2017",T20I # 574
Bangladesh,West Indies,West Indies,50 runs,Mirpur,"Dec 22, 2018",T20I # 717
Bangladesh,West Indies,Bangladesh,36 runs,Mirpur,"Dec 20, 2018",T20I # 716
Bangladesh,West Indies,West Indies,8 wickets,Sylhet,"Dec 17, 2018",T20I # 715
Australia,India,India,6 wickets,Sydney,"Nov 25, 2018",T20I # 714
Australia,India,no result,-,Melbourne,"Nov 23, 2018",T20I # 713
Australia,India,Australia,4 runs,Brisbane,"Nov 21, 2018",T20I # 712
Australia,South Africa,South Africa,21 runs,Carrara,"Nov 17, 2018",T20I # 711
India,West Indies,India,6 wickets,Chennai,"Nov 11, 2018",T20I # 710
India,West Indies,India,71 runs,Lucknow,"Nov 6, 2018",T20I # 709
New Zealand,Pakistan,Pakistan,47 runs,Dubai (DICS),"Nov 4, 2018",T20I # 708
India,West Indies,India,5 wickets,Eden Gardens,"Nov 4, 2018",T20I # 707
New Zealand,Pakistan,Pakistan,6 wickets,Dubai (DICS),"Nov 2, 2018",T20I # 706
New Zealand,Pakistan,Pakistan,2 runs,Abu Dhabi,"Oct 31, 2018",T20I # 705
Australia,Pakistan,Pakistan,33 runs,Dubai (DICS),"Oct 28, 2018",T20I # 704
Sri Lanka,England,England,30 runs,Colombo (RPS),"Oct 27, 2018",T20I # 703
Australia,Pakistan,Pakistan,11 runs,Dubai (DICS),"Oct 26, 2018",T20I # 702
Australia,Pakistan,Pakistan,66 runs,Abu Dhabi,"Oct 24, 2018",T20I # 701
U.A.E.,Australia,Australia,7 wickets,Abu Dhabi,"Oct 22, 2018",T20I # 700
South Africa,Zimbabwe,South Africa,6 wickets,Potchefstroom,"Oct 12, 2018",T20I # 699
South Africa,Zimbabwe,South Africa,34 runs,East London,"Oct 9, 2018",T20I # 698
Ireland,Afghanistan,Afghanistan,81 runs,Bready,"Aug 22, 2018",T20I # 697
Ireland,Afghanistan,Afghanistan,16 runs,Bready,"Aug 20, 2018",T20I # 696
Sri Lanka,South Africa,Sri Lanka,3 wickets,Colombo (RPS),"Aug 14, 2018",T20I # 695
Bangladesh,West Indies,Bangladesh,19 runs,Lauderhill,"Aug 5, 2018",T20I # 694
Bangladesh,West Indies,Bangladesh,12 runs,Lauderhill,"Aug 4, 2018",T20I # 693
West Indies,Bangladesh,West Indies,7 wickets,Basseterre,"Jul 31, 2018",T20I # 692
Nepal,Netherlands,no result,-,Lord's,"Jul 29, 2018",T20I # 691
England,India,India,7 wickets,Bristol,"Jul 8, 2018",T20I # 690
Australia,Pakistan,Pakistan,6 wickets,Harare,"Jul 8, 2018",T20I # 689
England,India,England,5 wickets,Cardiff,"Jul 6, 2018",T20I # 688
Zimbabwe,Australia,Australia,5 wickets,Harare,"Jul 6, 2018",T20I # 687
Australia,Pakistan,Pakistan,45 runs,Harare,"Jul 5, 2018",T20I # 686
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Jul 4, 2018",T20I # 685
England,India,India,8 wickets,Manchester,"Jul 3, 2018",T20I # 684
Zimbabwe,Australia,Australia,100 runs,Harare,"Jul 3, 2018",T20I # 683
Australia,Pakistan,Australia,9 wickets,Harare,"Jul 2, 2018",T20I # 682
Zimbabwe,Pakistan,Pakistan,74 runs,Harare,"Jul 1, 2018",T20I # 681
Ireland,India,India,143 runs,Dublin (Malahide),"Jun 29, 2018",T20I # 680
England,Australia,England,28 runs,Birmingham,"Jun 27, 2018",T20I # 679
Ireland,India,India,76 runs,Dublin (Malahide),"Jun 27, 2018",T20I # 678
Netherlands,Scotland,Scotland,115 runs,Amstelveen,"Jun 20, 2018",T20I # 677
Netherlands,Scotland,Scotland,7 wickets,Amstelveen,"Jun 19, 2018",T20I # 676
Ireland,Scotland,tied,-,Deventer,"Jun 17, 2018",T20I # 675
Ireland,Scotland,Ireland,46 runs,Deventer,"Jun 16, 2018",T20I # 674
Netherlands,Ireland,Netherlands,4 wickets,Rotterdam,"Jun 13, 2018",T20I # 672
Scotland,Pakistan,Pakistan,84 runs,Edinburgh,"Jun 13, 2018",T20I # 673
Netherlands,Ireland,Netherlands,4 runs,Rotterdam,"Jun 12, 2018",T20I # 670
Scotland,Pakistan,Pakistan,48 runs,Edinburgh,"Jun 12, 2018",T20I # 671
Afghanistan,Bangladesh,Afghanistan,1 run,Dehradun,"Jun 7, 2018",T20I # 669
Afghanistan,Bangladesh,Afghanistan,6 wickets,Dehradun,"Jun 5, 2018",T20I # 668
Afghanistan,Bangladesh,Afghanistan,45 runs,Dehradun,"Jun 3, 2018",T20I # 667
ICC World XI,West Indies,West Indies,72 runs,Lord's,"May 31, 2018",T20I # 666
Pakistan,West Indies,Pakistan,8 wickets,Karachi,"Apr 3, 2018",T20I # 665
Pakistan,West Indies,Pakistan,82 runs,Karachi,"Apr 2, 2018",T20I # 664
Pakistan,West Indies,Pakistan,143 runs,Karachi,"Apr 1, 2018",T20I # 663
Bangladesh,India,India,4 wickets,Colombo (RPS),"Mar 18, 2018",T20I # 662
Sri Lanka,Bangladesh,Bangladesh,2 wickets,Colombo (RPS),"Mar 16, 2018",T20I # 661
Bangladesh,India,India,17 runs,Colombo (RPS),"Mar 14, 2018",T20I # 660
Sri Lanka,India,India,6 wickets,Colombo (RPS),"Mar 12, 2018",T20I # 659
Sri Lanka,Bangladesh,Bangladesh,5 wickets,Colombo (RPS),"Mar 10, 2018",T20I # 658
Bangladesh,India,India,6 wickets,Colombo (RPS),"Mar 8, 2018",T20I # 657
Sri Lanka,India,Sri Lanka,5 wickets,Colombo (RPS),"Mar 6, 2018",T20I # 656
South Africa,India,India,7 runs,Cape Town,"Feb 24, 2018",T20I # 655
South Africa,India,South Africa,6 wickets,Centurion,"Feb 21, 2018",T20I # 654
New Zealand,Australia,Australia,19 runs,Auckland,"Feb 21, 2018",T20I # 653
South Africa,India,India,28 runs,Johannesburg,"Feb 18, 2018",T20I # 652
Bangladesh,Sri Lanka,Sri Lanka,75 runs,Sylhet,"Feb 18, 2018",T20I # 651
New Zealand,England,England,2 runs,Hamilton,"Feb 18, 2018",T20I # 650
New Zealand,Australia,Australia,5 wickets,Auckland,"Feb 16, 2018",T20I # 649
Bangladesh,Sri Lanka,Sri Lanka,6 wickets,Mirpur,"Feb 15, 2018",T20I # 648
New Zealand,England,New Zealand,12 runs,Wellington,"Feb 13, 2018",T20I # 647
Australia,England,Australia,7 wickets,Melbourne,"Feb 10, 2018",T20I # 646
Australia,England,Australia,5 wickets,Hobart,"Feb 7, 2018",T20I # 645
Afghanistan,Zimbabwe,Afghanistan,17 runs,Sharjah,"Feb 6, 2018",T20I # 644
Afghanistan,Zimbabwe,Afghanistan,5 wickets,Sharjah,"Feb 5, 2018",T20I # 643
Australia,New Zealand,Australia,7 wickets,Sydney,"Feb 3, 2018",T20I # 642
New Zealand,Pakistan,Pakistan,18 runs,Mount Maunganui,"Jan 28, 2018",T20I # 641
New Zealand,Pakistan,Pakistan,48 runs,Auckland,"Jan 25, 2018",T20I # 640
New Zealand,Pakistan,New Zealand,7 wickets,Wellington,"Jan 22, 2018",T20I # 639
New Zealand,West Indies,New Zealand,119 runs,Mount Maunganui,"Jan 3, 2018",T20I # 638
New Zealand,West Indies,no result,-,Mount Maunganui,"Jan 1, 2018",T20I # 637
India,West Indies,India,67 runs,Wankhede,"Dec 11, 2019",T20I # 1024
Nepal,Maldives,Nepal,5 wickets,Kirtipur,"Dec 9, 2019",T20I # 1023
India,West Indies,West Indies,8 wickets,Thiruvananthapuram,"Dec 8, 2019",T20I # 1022
Bhutan,Maldives,Maldives,8 wickets,Kirtipur,"Dec 7, 2019",T20I # 1021
India,West Indies,India,6 wickets,Hyderabad,"Dec 6, 2019",T20I # 1020
Nepal,Maldives,Nepal,84 runs,Kirtipur,"Dec 6, 2019",T20I # 1019
Nepal,Bhutan,Nepal,141 runs,Kirtipur,"Dec 5, 2019",T20I # 1018
Afghanistan,West Indies,Afghanistan,29 runs,Lucknow,"Nov 17, 2019",T20I # 1017
Afghanistan,West Indies,Afghanistan,41 runs,Lucknow,"Nov 16, 2019",T20I # 1016
Afghanistan,West Indies,West Indies,30 runs,Lucknow,"Nov 14, 2019",T20I # 1015
India,Bangladesh,India,30 runs,Nagpur,"Nov 10, 2019",T20I # 1014
Malawi,Mozambique,Mozambique,11 runs,Blantyre,"Nov 10, 2019",T20I # 1013
New Zealand,England,tied,-,Auckland,"Nov 10, 2019",T20I # 1012
Malawi,Mozambique,no result,-,Blantyre,"Nov 9, 2019",T20I # 1011
Malawi,Mozambique,Malawi,15 runs,Blantyre,"Nov 9, 2019",T20I # 1010
Australia,Pakistan,Australia,10 wickets,Perth,"Nov 8, 2019",T20I # 1009
New Zealand,England,England,76 runs,Napier,"Nov 8, 2019",T20I # 1008
India,Bangladesh,India,8 wickets,Rajkot,"Nov 7, 2019",T20I # 1007
Malawi,Mozambique,Malawi,4 wickets,Lilongwe,"Nov 7, 2019",T20I # 1006
Malawi,Mozambique,Malawi,25 runs,Lilongwe,"Nov 7, 2019",T20I # 1005
Malawi,Mozambique,Malawi,7 wickets,Lilongwe,"Nov 6, 2019",T20I # 1004
Malawi,Mozambique,Malawi,3 wickets,Lilongwe,"Nov 6, 2019",T20I # 1003
Australia,Pakistan,Australia,7 wickets,Canberra,"Nov 5, 2019",T20I # 1002
New Zealand,England,New Zealand,14 runs,Nelson,"Nov 5, 2019",T20I # 1001
India,Bangladesh,Bangladesh,7 wickets,Delhi,"Nov 3, 2019",T20I # 1000
Australia,Pakistan,no result,-,Sydney,"Nov 3, 2019",T20I # 999
New Zealand,England,New Zealand,21 runs,Wellington,"Nov 3, 2019",T20I # 998
Netherlands,P.N.G.,Netherlands,7 wickets,Dubai (DICS),"Nov 2, 2019",T20I # 997
Ireland,Namibia,Ireland,27 runs,Dubai (DICS),"Nov 2, 2019",T20I # 996
Namibia,P.N.G.,P.N.G.,18 runs,Dubai (DICS),"Nov 1, 2019",T20I # 995
Ireland,Netherlands,Netherlands,21 runs,Dubai (DICS),"Nov 1, 2019",T20I # 994
Australia,Sri Lanka,Australia,7 wickets,Melbourne,"Nov 1, 2019",T20I # 993
New Zealand,England,England,7 wickets,Christchurch,"Nov 1, 2019",T20I # 992
Oman,Scotland,Scotland,5 wickets,ICCA Dubai,"Oct 31, 2019",T20I # 991
Hong Kong,Oman,Oman,12 runs,Dubai (DICS),"Oct 30, 2019",T20I # 990
U.A.E.,Scotland,Scotland,90 runs,Dubai (DICS),"Oct 30, 2019",T20I # 989
Australia,Sri Lanka,Australia,9 wickets,Brisbane,"Oct 30, 2019",T20I # 988
Namibia,Oman,Namibia,54 runs,Dubai (DICS),"Oct 29, 2019",T20I # 987
U.A.E.,Netherlands,Netherlands,8 wickets,Dubai (DICS),"Oct 29, 2019",T20I # 986
U.A.E.,Canada,U.A.E.,14 runs,Abu Dhabi,"Oct 27, 2019",T20I # 985
Spain,Gibraltar,Spain,6 wickets,Cartagena,"Oct 27, 2019",T20I # 984
Jersey,Oman,Jersey,14 runs,Abu Dhabi,"Oct 27, 2019",T20I # 982
Netherlands,Scotland,Netherlands,4 wickets,Dubai (DICS),"Oct 27, 2019",T20I # 983
Gibraltar,Portugal,Portugal,4 wickets,Cartagena,"Oct 27, 2019",T20I # 981
Kenya,P.N.G.,P.N.G.,45 runs,Dubai (DICS),"Oct 27, 2019",T20I # 979
Hong Kong,Nigeria,Hong Kong,5 wickets,Tolerance Oval,"Oct 27, 2019",T20I # 980
Australia,Sri Lanka,Australia,134 runs,Adelaide,"Oct 27, 2019",T20I # 978
Namibia,Singapore,Namibia,87 runs,Dubai (DICS),"Oct 26, 2019",T20I # 977
Spain,Portugal,Spain,29 runs,Cartagena,"Oct 26, 2019",T20I # 976
Spain,Gibraltar,Spain,8 wickets,Cartagena,"Oct 26, 2019",T20I # 975
Bermuda,Netherlands,Netherlands,92 runs,Dubai (DICS),"Oct 26, 2019",T20I # 974
Gibraltar,Portugal,Portugal,6 wickets,Cartagena,"Oct 26, 2019",T20I # 973
Ireland,Nigeria,Ireland,8 wickets,Abu Dhabi,"Oct 26, 2019",T20I # 972
Canada,Oman,Oman,8 wickets,Abu Dhabi,"Oct 25, 2019",T20I # 971
Spain,Portugal,Spain,8 wickets,Cartagena,"Oct 25, 2019",T20I # 970
Kenya,Namibia,Namibia,87 runs,Dubai (DICS),"Oct 25, 2019",T20I # 969
P.N.G.,Singapore,P.N.G.,43 runs,Dubai (DICS),"Oct 25, 2019",T20I # 967
Ireland,Jersey,Ireland,8 wickets,Tolerance Oval,"Oct 25, 2019",T20I # 968
Bermuda,Scotland,Scotland,46 runs,Dubai (DICS),"Oct 24, 2019",T20I # 966
Canada,Hong Kong,Hong Kong,32 runs,Tolerance Oval,"Oct 24, 2019",T20I # 965
Netherlands,P.N.G.,P.N.G.,5 wickets,ICCA Dubai,"Oct 24, 2019",T20I # 963
U.A.E.,Nigeria,U.A.E.,5 wickets,Tolerance Oval,"Oct 24, 2019",T20I # 964
Hong Kong,Jersey,Hong Kong,8 runs,Abu Dhabi,"Oct 23, 2019",T20I # 962
Kenya,Singapore,Kenya,7 wickets,ICCA 2 Dubai,"Oct 23, 2019",T20I # 960
Canada,Ireland,Canada,10 runs,Abu Dhabi,"Oct 23, 2019",T20I # 961
Bermuda,Namibia,Namibia,6 wickets,ICCA 2 Dubai,"Oct 23, 2019",T20I # 958
Nigeria,Oman,Oman,7 wickets,Tolerance Oval,"Oct 23, 2019",T20I # 959
Netherlands,Singapore,Netherlands,5 wickets,ICCA Dubai,"Oct 22, 2019",T20I # 956
U.A.E.,Jersey,Jersey,35 runs,Tolerance Oval,"Oct 22, 2019",T20I # 957
Namibia,Scotland,Namibia,24 runs,ICCA Dubai,"Oct 22, 2019",T20I # 955
Canada,Nigeria,Canada,50 runs,Abu Dhabi,"Oct 21, 2019",T20I # 954
U.A.E.,Hong Kong,U.A.E.,8 wickets,Abu Dhabi,"Oct 21, 2019",T20I # 951
Ireland,Oman,Ireland,35 runs,Tolerance Oval,"Oct 21, 2019",T20I # 952
Bermuda,Kenya,Kenya,45 runs,ICCA Dubai,"Oct 21, 2019",T20I # 953
P.N.G.,Scotland,Scotland,4 runs,ICCA Dubai,"Oct 21, 2019",T20I # 950
Bermuda,Singapore,Singapore,5 wickets,ICCA 2 Dubai,"Oct 20, 2019",T20I # 948
Hong Kong,Oman,Oman,7 wickets,Abu Dhabi,"Oct 20, 2019",T20I # 949
Malta,Czech Rep.,Czech Rep.,82 runs,Marsa,"Oct 20, 2019",T20I # 945
Namibia,P.N.G.,P.N.G.,81 runs,ICCA 2 Dubai,"Oct 20, 2019",T20I # 946
Canada,Jersey,Canada,53 runs,Tolerance Oval,"Oct 20, 2019",T20I # 947
U.A.E.,Ireland,U.A.E.,5 wickets,Abu Dhabi,"Oct 19, 2019",T20I # 944
Jersey,Nigeria,Jersey,69 runs,Abu Dhabi,"Oct 19, 2019",T20I # 941
Namibia,Netherlands,Netherlands,44 runs,ICCA Dubai,"Oct 19, 2019",T20I # 942
Kenya,Scotland,Scotland,31 runs,ICCA 2 Dubai,"Oct 19, 2019",T20I # 943
Bermuda,P.N.G.,P.N.G.,10 wickets,ICCA Dubai,"Oct 19, 2019",T20I # 940
U.A.E.,Oman,Oman,7 wickets,Abu Dhabi,"Oct 18, 2019",T20I # 939
Greece,Bulgaria,Bulgaria,18 runs,Corfu,"Oct 18, 2019",T20I # 938
Hong Kong,Ireland,Ireland,8 wickets,Abu Dhabi,"Oct 18, 2019",T20I # 936
Kenya,Netherlands,Netherlands,30 runs,ICCA Dubai,"Oct 18, 2019",T20I # 937
Malta,Czech Rep.,Czech Rep.,12 runs,Marsa,"Oct 18, 2019",T20I # 934
Scotland,Singapore,Singapore,2 runs,ICCA Dubai,"Oct 18, 2019",T20I # 935
Greece,Bulgaria,Greece,9 wickets,Corfu,"Oct 16, 2019",T20I # 933
Greece,Serbia,Greece,10 wickets,Corfu,"Oct 15, 2019",T20I # 932
Bulgaria,Serbia,Bulgaria,6 wickets,Corfu,"Oct 14, 2019",T20I # 931
Qatar,Jersey,Qatar,8 wickets,Doha,"Oct 11, 2019",T20I # 930
Qatar,Jersey,Qatar,6 wickets,Doha,"Oct 10, 2019",T20I # 929
Oman,Nepal,Oman,6 wickets,Al Amerat,"Oct 10, 2019",T20I # 928
Hong Kong,Netherlands,Netherlands,37 runs,Al Amerat,"Oct 10, 2019",T20I # 927
Qatar,Jersey,Qatar,20 runs,Doha,"Oct 9, 2019",T20I # 926
Pakistan,Sri Lanka,Sri Lanka,13 runs,Lahore,"Oct 9, 2019",T20I # 925
Oman,Netherlands,Oman,7 wickets,Al Amerat,"Oct 9, 2019",T20I # 924
Ireland,Nepal,Ireland,13 runs,Al Amerat,"Oct 9, 2019",T20I # 923
Pakistan,Sri Lanka,Sri Lanka,35 runs,Lahore,"Oct 7, 2019",T20I # 922
Hong Kong,Ireland,Ireland,66 runs,Al Amerat,"Oct 7, 2019",T20I # 921
Nepal,Netherlands,Nepal,4 wickets,Al Amerat,"Oct 7, 2019",T20I # 920
Argentina,Mexico,Argentina,4 wickets,Lima Cricket and Football,"Oct 6, 2019",T20I # 919
Hong Kong,Nepal,Nepal,4 wickets,Al Amerat,"Oct 6, 2019",T20I # 918
Oman,Ireland,Oman,43 runs,Al Amerat,"Oct 6, 2019",T20I # 917
Brazil,Mexico,Mexico,20 runs,Cortijo Polo Club Pitch B,"Oct 5, 2019",T20I # 916
Peru,Chile,Peru,60 runs,Cortijo Polo Club Pitch A,"Oct 5, 2019",T20I # 915
Pakistan,Sri Lanka,Sri Lanka,64 runs,Lahore,"Oct 5, 2019",T20I # 914
Argentina,Chile,Argentina,28 runs,Cortijo Polo Club Pitch A,"Oct 5, 2019",T20I # 912
Peru,Mexico,Mexico,39 runs,Cortijo Polo Club Pitch B,"Oct 5, 2019",T20I # 913
Ireland,Netherlands,Ireland,6 wickets,Al Amerat,"Oct 5, 2019",T20I # 911
Oman,Hong Kong,Oman,7 wickets,Al Amerat,"Oct 5, 2019",T20I # 910
Argentina,Brazil,Argentina,29 runs,Cortijo Polo Club Pitch A,"Oct 4, 2019",T20I # 909
Peru,Argentina,Argentina,7 wickets,Cortijo Polo Club Pitch B,"Oct 4, 2019",T20I # 908
Chile,Mexico,Chile,4 wickets,Cortijo Polo Club Pitch A,"Oct 4, 2019",T20I # 907
Malaysia,Vanuatu,Malaysia,22 runs,Kuala Lumpur,"Oct 4, 2019",T20I # 906
Peru,Brazil,Peru,2 runs,Cortijo Polo Club Pitch A,"Oct 3, 2019",T20I # 905
Brazil,Chile,Brazil,35 runs,Cortijo Polo Club Pitch B,"Oct 3, 2019",T20I # 904
Argentina,Mexico,Argentina,9 wickets,Cortijo Polo Club Pitch A,"Oct 3, 2019",T20I # 903
Singapore,Zimbabwe,Zimbabwe,8 wickets,Singapore,"Oct 3, 2019",T20I # 902
Malaysia,Vanuatu,Vanuatu,6 wickets,Kuala Lumpur,"Oct 3, 2019",T20I # 901
Malaysia,Vanuatu,Malaysia,26 runs,Kuala Lumpur,"Oct 2, 2019",T20I # 900
Nepal,Zimbabwe,Zimbabwe,40 runs,Singapore,"Oct 1, 2019",T20I # 899
Malaysia,Vanuatu,Vanuatu,51 runs,Kuala Lumpur,"Oct 1-2, 2019",T20I # 898
Singapore,Zimbabwe,Singapore,4 runs,Singapore,"Sep 29, 2019",T20I # 897
Malaysia,Vanuatu,Vanuatu,17 runs,Kuala Lumpur,"Sep 29, 2019",T20I # 896
Singapore,Nepal,Nepal,9 wickets,Singapore,"Sep 28, 2019",T20I # 895
Nepal,Zimbabwe,Zimbabwe,5 wickets,Singapore,"Sep 27, 2019",T20I # 894
India,South Africa,South Africa,9 wickets,Bengaluru,"Sep 22, 2019",T20I # 893
Bangladesh,Afghanistan,Bangladesh,4 wickets,Chattogram,"Sep 21, 2019",T20I # 892
Afghanistan,Zimbabwe,Zimbabwe,7 wickets,Chattogram,"Sep 20, 2019",T20I # 890
Ireland,Scotland,Ireland,1 run,Dublin (Malahide),"Sep 20, 2019",T20I # 891
Netherlands,Scotland,Scotland,6 wickets,Dublin (Malahide),"Sep 19, 2019",T20I # 889
India,South Africa,India,7 wickets,Mohali,"Sep 18, 2019",T20I # 888
Bangladesh,Zimbabwe,Bangladesh,39 runs,Chattogram,"Sep 18, 2019",T20I # 886
Ireland,Netherlands,Netherlands,6 wickets,Dublin (Malahide),"Sep 18, 2019",T20I # 887
Ireland,Scotland,Ireland,4 wickets,Dublin (Malahide),"Sep 17, 2019",T20I # 885
Netherlands,Scotland,Scotland,58 runs,Dublin (Malahide),"Sep 16, 2019",T20I # 884
Bangladesh,Afghanistan,Afghanistan,25 runs,Mirpur,"Sep 15, 2019",T20I # 883
Afghanistan,Zimbabwe,Afghanistan,28 runs,Mirpur,"Sep 14, 2019",T20I # 882
Bangladesh,Zimbabwe,Bangladesh,3 wickets,Mirpur,"Sep 13, 2019",T20I # 881
Sri Lanka,New Zealand,Sri Lanka,37 runs,Pallekele,"Sep 6, 2019",T20I # 880
Sri Lanka,New Zealand,New Zealand,4 wickets,Pallekele,"Sep 3, 2019",T20I # 879
Sri Lanka,New Zealand,New Zealand,5 wickets,Pallekele,"Sep 1, 2019",T20I # 878
Austria,Czech Rep.,Austria,30 runs,Ilfov County,"Sep 1, 2019",T20I # 877
Czech Rep.,Luxembourg,Czech Rep.,6 wickets,Ilfov County,"Sep 1, 2019",T20I # 876
Austria,Turkey,Austria,10 wickets,Ilfov County,"Aug 31, 2019",T20I # 875
Romania,Czech Rep.,Czech Rep.,6 wickets,Ilfov County,"Aug 31, 2019",T20I # 874
Austria,Luxembourg,Austria,135 runs,Ilfov County,"Aug 31, 2019",T20I # 873
Czech Rep.,Turkey,Czech Rep.,257 runs,Ilfov County,"Aug 30, 2019",T20I # 872
Romania,Luxembourg,Romania,7 wickets,Ilfov County,"Aug 30, 2019",T20I # 871
Austria,Czech Rep.,Austria,8 wickets,Ilfov County,"Aug 30, 2019",T20I # 870
Romania,Turkey,Romania,173 runs,Ilfov County,"Aug 29, 2019",T20I # 869
Luxembourg,Turkey,Luxembourg,8 wickets,Ilfov County,"Aug 29, 2019",T20I # 868
Romania,Austria,Romania,31 runs,Ilfov County,"Aug 29, 2019",T20I # 867
Bermuda,Cayman Is,Bermuda,6 wickets, Sandys Parish,"Aug 25, 2019",T20I # 866
Canada,U.S.A.,Canada,15 runs, Sandys Parish,"Aug 25, 2019",T20I # 865
Bermuda,Canada,Canada,8 wickets, Sandys Parish,"Aug 24, 2019",T20I # 864
Cayman Is,U.S.A.,U.S.A.,9 wickets, Sandys Parish,"Aug 24, 2019",T20I # 863
Namibia,Botswana,Namibia,8 wickets,Windhoek,"Aug 23, 2019",T20I # 862
Bermuda,U.S.A.,Bermuda,4 wickets, Sandys Parish,"Aug 22, 2019",T20I # 861
Canada,Cayman Is,Canada,8 wickets, Sandys Parish,"Aug 22, 2019",T20I # 860
Namibia,Botswana,Namibia,78 runs,Windhoek,"Aug 22, 2019",T20I # 859
Canada,U.S.A.,Canada,4 wickets, Sandys Parish,"Aug 21, 2019",T20I # 858
Bermuda,Cayman Is,Bermuda,6 wickets, Sandys Parish,"Aug 21, 2019",T20I # 857
Namibia,Botswana,Namibia,124 runs,Windhoek,"Aug 20, 2019",T20I # 856
Cayman Is,U.S.A.,U.S.A.,10 runs,Hamilton,"Aug 19, 2019",T20I # 855
Bermuda,Canada,no result,-,Hamilton,"Aug 19, 2019",T20I # 854
Namibia,Botswana,Namibia,93 runs,Windhoek,"Aug 19, 2019",T20I # 853
Canada,Cayman Is,Canada,84 runs, Sandys Parish,"Aug 18, 2019",T20I # 852
Bermuda,U.S.A.,Bermuda,6 runs, Sandys Parish,"Aug 18, 2019",T20I # 851
Finland,Spain,Spain,4 wickets,Kerava,"Aug 18, 2019",T20I # 850
Finland,Spain,Spain,6 wickets,Kerava,"Aug 17, 2019",T20I # 849
Finland,Spain,Finland,82 runs,Kerava,"Aug 17, 2019",T20I # 848
Netherlands,U.A.E.,U.A.E.,7 wickets,The Hague,"Aug 8, 2019",T20I # 847
West Indies,India,India,7 wickets,Providence,"Aug 6, 2019",T20I # 846
Netherlands,U.A.E.,U.A.E.,14 runs,The Hague,"Aug 6, 2019",T20I # 845
Netherlands,U.A.E.,U.A.E.,5 wickets,Amstelveen,"Aug 5, 2019",T20I # 844
India,West Indies,India,22 runs,Lauderhill,"Aug 4, 2019",T20I # 843
India,West Indies,India,4 wickets,Lauderhill,"Aug 3, 2019",T20I # 842
Netherlands,U.A.E.,U.A.E.,13 runs,Amstelveen,"Aug 3, 2019",T20I # 841
Singapore,Nepal,Singapore,82 runs,Singapore,"Jul 28, 2019",T20I # 840
Malaysia,Qatar,Qatar,4 wickets,Singapore,"Jul 27, 2019",T20I # 839
Kuwait,Nepal,Nepal,7 wickets,Singapore,"Jul 27, 2019",T20I # 838
Singapore,Malaysia,Singapore,8 wickets,Singapore,"Jul 26, 2019",T20I # 837
Kuwait,Qatar,Kuwait,10 runs,Singapore,"Jul 26, 2019",T20I # 836
Malaysia,Nepal,Nepal,7 wickets,Singapore,"Jul 24, 2019",T20I # 835
Nepal,Qatar,Qatar,4 wickets,Singapore,"Jul 23, 2019",T20I # 834
Kuwait,Malaysia,Malaysia,42 runs,Singapore,"Jul 22, 2019",T20I # 833
Singapore,Qatar,Singapore,33 runs,Singapore,"Jul 22, 2019",T20I # 832
Ireland,Zimbabwe,Zimbabwe,8 wickets,Bready,"Jul 14, 2019",T20I # 831
Malaysia,Nepal,Nepal,6 runs,Kuala Lumpur,"Jul 14, 2019",T20I # 830
